locus	Genus	Species
NC_013375	Staphylococcus	aureus
NC_013350	Staphylococcus	aureus
NC_013351	Staphylococcus	aureus
NC_013352	Staphylococcus	aureus
NC_013314	Staphylococcus	aureus
NC_013388	Staphylococcus	sp.
NC_013322	Staphylococcus	aureus
NC_013373	Staphylococcus	sp.
NC_013323	Staphylococcus	aureus
NC_013326	Staphylococcus	aureus
NC_018972	Staphylococcus	aureus
NC_013329	Staphylococcus	aureus
NC_013374	Staphylococcus	epidermidis
NC_013336	Staphylococcus	aureus
NC_013303	Staphylococcus	aureus
NC_013304	Staphylococcus	aureus
NC_013343	Staphylococcus	aureus
NC_013317	Enterococcus	faecium
NC_013347	Staphylococcus	aureus
NC_013348	Staphylococcus	aureus
NC_013349	Staphylococcus	aureus
NC_018979	Borrelia	burgdorferi
NC_018980	Borrelia	burgdorferi
NC_018989	Borrelia	burgdorferi
NC_018990	Borrelia	burgdorferi
NC_018991	Borrelia	burgdorferi
NC_018992	Borrelia	burgdorferi
NC_018993	Borrelia	burgdorferi
NC_018994	Escherichia	coli
NC_018995	Escherichia	coli
NC_018996	Escherichia	coli
NC_019000	Escherichia	coli
NC_013331	Staphylococcus	aureus
NC_019003	Borrelia	burgdorferi
NC_019004	Borrelia	burgdorferi
NC_019006	Borrelia	burgdorferi
NC_013390	Staphylococcus	epidermidis
NC_013394	Staphylococcus	epidermidis
NC_013384	Staphylococcus	epidermidis
NC_013371	Staphylococcus	sp.
NC_013318	Staphylococcus	aureus
NC_013324	Staphylococcus	aureus
NC_013327	Staphylococcus	aureus
NC_013335	Staphylococcus	aureus
NC_013337	Staphylococcus	aureus
NC_013302	Staphylococcus	aureus
NC_019011	Staphylococcus	aureus
NC_019018	Mycobacterium	marinum
NC_013325	Staphylococcus	aureus
NC_013377	Staphylococcus	epidermidis
NC_013378	Staphylococcus	epidermidis
NC_013380	Staphylococcus	epidermidis
NC_013381	Staphylococcus	epidermidis
NC_013382	Staphylococcus	epidermidis
NC_013389	Staphylococcus	epidermidis
NC_013294	Staphylococcus	aureus
NC_013295	Staphylococcus	aureus
NC_013296	Staphylococcus	aureus
NC_013298	Staphylococcus	aureus
NC_013332	Staphylococcus	aureus
NC_013333	Staphylococcus	aureus
NC_013334	Staphylococcus	aureus
NC_013306	Staphylococcus	aureus
NC_013330	Staphylococcus	aureus
NC_019007	Staphylococcus	aureus
NC_013297	Staphylococcus	aureus
NC_013310	Staphylococcus	aureus
NC_019010	Staphylococcus	aureus
NC_013376	Staphylococcus	aureus
NC_013321	Staphylococcus	aureus
NC_013290	Staphylococcus	aureus
NC_013291	Staphylococcus	aureus
NC_013328	Staphylococcus	aureus
NC_018977	Erwinia	amylovora
NC_018978	Erwinia	amylovora
NC_018981	Borrelia	burgdorferi
NC_018988	Borrelia	burgdorferi
NC_013379	Staphylococcus	epidermidis
NC_013393	Staphylococcus	epidermidis
NC_013383	Staphylococcus	epidermidis
NC_013313	Staphylococcus	aureus
NC_018997	Escherichia	coli
NC_019005	Borrelia	burgdorferi
NC_013391	Staphylococcus	epidermidis
NC_018965	Staphylococcus	aureus
NC_013341	Staphylococcus	aureus
NC_013305	Staphylococcus	aureus
NC_013307	Staphylococcus	aureus
NC_013345	Staphylococcus	aureus
NC_013346	Staphylococcus	aureus
NC_013308	Staphylococcus	aureus
NC_013312	Staphylococcus	aureus
NC_013292	Staphylococcus	aureus
NC_013293	Staphylococcus	aureus
NC_013299	Staphylococcus	aureus
NC_013301	Staphylococcus	aureus
NC_019008	Staphylococcus	aureus
NC_013340	Staphylococcus	aureus
NC_019009	Staphylococcus	aureus
NC_013342	Staphylococcus	aureus
NC_013344	Staphylococcus	aureus
NC_018982	Borrelia	burgdorferi
NC_018983	Borrelia	burgdorferi
NC_018984	Borrelia	burgdorferi
NC_018986	Borrelia	burgdorferi
NC_018987	Borrelia	burgdorferi
NC_018998	Escherichia	coli
NC_013392	Staphylococcus	epidermidis
NC_013300	Staphylococcus	aureus
NC_013395	Staphylococcus	epidermidis
NC_019033	Escherichia	coli
NC_018985	Erwinia	amylovora
NC_019040	Escherichia	coli
NC_019041	Escherichia	coli
NC_011917	Escherichia	coli
NC_019037	Escherichia	coli
NC_019039	Escherichia	coli
NC_019044	Escherichia	coli
NC_019043	Escherichia	coli
NC_019053	Escherichia	coli
NC_019054	Escherichia	coli
NC_019059	Escherichia	coli
NC_019060	Escherichia	coli
NC_019061	Escherichia	coli
NC_019070	Escherichia	coli
NC_019080	Escherichia	coli
NC_019081	Escherichia	coli
NC_019082	Escherichia	coli
NC_019083	Escherichia	coli
NC_019085	Escherichia	coli
NC_019086	Escherichia	coli
NC_019087	Escherichia	coli
NC_019088	Escherichia	coli
NC_011514	Escherichia	coli
NC_019092	Escherichia	coli
NC_019013	Escherichia	coli
NC_019062	Escherichia	coli
NC_019065	Escherichia	coli
NC_019066	Escherichia	coli
NC_019067	Escherichia	coli
NC_019068	Escherichia	coli
NC_019069	Escherichia	coli
NC_019071	Escherichia	coli
NC_019072	Escherichia	coli
NC_019073	Escherichia	coli
NC_019074	Escherichia	coli
NC_019075	Escherichia	coli
NC_019076	Escherichia	coli
NC_019077	Escherichia	coli
NC_019079	Escherichia	coli
NC_009131	Escherichia	coli
NC_019093	Escherichia	coli
NC_019094	Escherichia	coli
NC_019095	Escherichia	coli
NC_019096	Escherichia	coli
NC_019097	Escherichia	coli
NC_019056	Escherichia	coli
NC_019057	Escherichia	coli
NC_019058	Escherichia	coli
NC_019063	Escherichia	coli
NC_019084	Escherichia	coli
NC_019078	Escherichia	coli
NC_009132	Escherichia	coli
NC_019139	Staphylococcus	aureus
NC_019140	Staphylococcus	aureus
NC_019141	Staphylococcus	aureus
NC_019142	Staphylococcus	aureus
NC_019143	Staphylococcus	aureus
NC_019144	Staphylococcus	aureus
NC_019145	Staphylococcus	aureus
NC_019146	Staphylococcus	aureus
NC_019147	Staphylococcus	aureus
NC_019148	Staphylococcus	aureus
NC_019149	Staphylococcus	aureus
NC_019150	Staphylococcus	aureus
NC_018956	Staphylococcus	aureus
NC_018957	Staphylococcus	aureus
NC_018958	Staphylococcus	aureus
NC_018963	Staphylococcus	aureus
NC_018967	Staphylococcus	aureus
NC_018968	Staphylococcus	aureus
NC_018969	Staphylococcus	aureus
NC_018974	Staphylococcus	aureus
NC_018975	Staphylococcus	aureus
NC_018953	Klebsiella	pneumoniae
NC_019151	Klebsiella	pneumoniae
NC_019152	Klebsiella	pneumoniae
NC_011511	Klebsiella	pneumoniae
NC_019153	Klebsiella	pneumoniae
NC_019154	Klebsiella	pneumoniae
NC_019155	Klebsiella	pneumoniae
NC_011512	Klebsiella	pneumoniae
NC_019159	Klebsiella	pneumoniae
NC_019162	Klebsiella	pneumoniae
NC_019163	Klebsiella	pneumoniae
NC_019165	Klebsiella	pneumoniae
NC_018959	Staphylococcus	aureus
